Ano,Municipio_COD-IBGE,Municipio_Nome,UF,Quantidade_Acidentes_com_CAT_Tipicos,Quantidade_Acidentes_com_CAT_Trajeto,Quantidade_Acidentes_com_CAT_Doenca_Profissional,Quantidade_Obitos,Quantidade_Acidentes_Sem_CAT
2006,110000,IGNORADO RONDONIA,RO,2,1,0,0,0
2006,110001,ALTA FLORESTA D OESTE,RO,16,4,0,0,0
2006,110002,ARIQUEMES,RO,163,33,4,0,0
2006,110003,CABIXI,RO,4,0,0,0,0
2006,110004,CACOAL,RO,194,49,29,3,0
2006,110005,CEREJEIRAS,RO,9,2,1,0,0
2006,110006,COLORADO DO OESTE,RO,19,6,3,0,0
2006,110007,CORUMBIARA,RO,11,2,0,0,0
2006,110008,COSTA MARQUES,RO,7,3,0,1,0
2006,110009,ESPIGAO D OESTE,RO,38,3,0,1,0
2006,110010,GUAJARA-MIRIM,RO,13,2,0,0,0
2006,110011,JARU,RO,56,10,1,0,0
2006,110012,JI-PARANA,RO,182,49,12,2,0
2006,110013,MACHADINHO D OESTE,RO,34,2,0,0,0
2006,110014,NOVA BRASILANDIA D OESTE,RO,13,3,1,0,0
2006,110015,OURO PRETO DO OESTE,RO,22,11,0,0,0
2006,110018,PIMENTA BUENO,RO,76,14,3,0,0
2006,110020,PORTO VELHO,RO,403,126,106,10,0
2006,110025,PRESIDENTE MEDICI,RO,23,2,0,1,0
2006,110026,RIO CRESPO,RO,3,1,0,0,0
2006,110028,ROLIM DE MOURA,RO,102,19,2,1,0
2006,110029,SANTA LUZIA D OESTE,RO,10,1,0,1,0
2006,110030,VILHENA,RO,123,44,12,2,0
2006,110032,SAO MIGUEL DO GUAPORE,RO,17,3,0,1,0
2006,110033,NOVA MAMORE,RO,15,3,0,0,0
2006,110034,ALVORADA D OESTE,RO,9,3,0,0,0
2006,110037,ALTO ALEGRE DOS PARECIS,RO,6,1,0,0,0
2006,110040,ALTO PARAISO,RO,17,3,0,0,0
2006,110045,BURITIS,RO,38,7,1,2,0
2006,110050,NOVO HORIZONTE DO OESTE,RO,10,0,0,0,0
2006,110060,CACAULANDIA,RO,8,1,0,0,0
2006,110070,CAMPO NOVO DE RONDONIA,RO,4,0,0,0,0
2006,110080,CANDEIAS DO JAMARI,RO,10,1,0,0,0
2006,110090,CASTANHEIRAS,RO,2,0,0,0,0
2006,110092,CHUPINGUAIA,RO,21,1,0,0,0
2006,110094,CUJUBIM,RO,10,2,0,0,0
2006,110100,GOVERNADOR JORGE TEIXEIRA,RO,6,0,0,0,0
2006,110110,ITAPUA DO OESTE,RO,12,0,0,0,0
2006,110120,MINISTRO ANDREAZZA,RO,11,1,1,0,0
2006,110130,MIRANTE DA SERRA,RO,5,0,0,0,0
2006,110140,MONTE NEGRO,RO,7,4,0,1,0
2006,110143,NOVA UNIAO,RO,1,0,0,0,0
2006,110145,PARECIS,RO,2,2,0,0,0
2006,110146,PIMENTEIRAS DO OESTE,RO,3,0,0,0,0
2006,110147,PRIMAVERA DE RONDONIA,RO,5,0,0,0,0
2006,110148,SAO FELIPE D OESTE,RO,6,0,0,0,0
2006,110149,SAO FRANCISCO DO GUAPORE,RO,20,1,1,0,0
2006,110150,SERINGUEIRAS,RO,12,1,0,0,0
2006,110155,TEIXEIROPOLIS,RO,3,0,0,0,0
2006,110160,THEOBROMA,RO,6,0,1,0,0
2006,110170,URUPA,RO,3,0,0,0,0
2006,110175,VALE DO ANARI,RO,1,0,0,0,0
2006,110180,VALE DO PARAISO,RO,1,1,0,0,0
2006,120000,IGNORADO ACRE,AC,6,0,0,1,0
2006,120001,ACRELANDIA,AC,5,1,0,1,0
2006,120010,BRASILEIA,AC,5,1,1,0,0
2006,120013,BUJARI,AC,4,1,0,0,0
2006,120017,CAPIXABA,AC,7,0,0,0,0
2006,120020,CRUZEIRO DO SUL,AC,14,5,0,0,0
2006,120030,FEIJO,AC,1,0,0,0,0
2006,120033,MANCIO LIMA,AC,0,1,0,0,0
2006,120035,MARECHAL THAUMATURGO,AC,1,0,0,0,0
2006,120038,PLACIDO DE CASTRO,AC,1,2,0,0,0
2006,120040,RIO BRANCO,AC,276,61,25,3,0
2006,120045,SENADOR GUIOMARD,AC,11,1,1,0,0
2006,120050,SENA MADUREIRA,AC,3,2,0,0,0
2006,120060,TARAUACA,AC,1,1,0,0,0
2006,120070,XAPURI,AC,2,0,0,0,0
